,location,date,total_cases,total_deaths,total_tests,population,median_age
0,Aruba,2020-03-13,2,0,,106766.0,41.2
1,Aruba,2020-03-20,4,0,,106766.0,41.2
2,Aruba,2020-03-24,12,0,,106766.0,41.2
3,Aruba,2020-03-25,17,0,,106766.0,41.2
4,Aruba,2020-03-26,19,0,,106766.0,41.2
5,Aruba,2020-03-27,28,0,,106766.0,41.2
6,Aruba,2020-03-28,28,0,,106766.0,41.2
7,Aruba,2020-03-29,28,0,,106766.0,41.2
8,Aruba,2020-03-30,50,0,,106766.0,41.2
9,Aruba,2020-04-01,55,0,,106766.0,41.2
10,Aruba,2020-04-02,55,0,,106766.0,41.2
11,Aruba,2020-04-03,60,0,,106766.0,41.2
12,Aruba,2020-04-04,62,0,,106766.0,41.2
13,Aruba,2020-04-05,64,0,,106766.0,41.2
14,Aruba,2020-04-06,64,0,,106766.0,41.2
15,Aruba,2020-04-07,71,0,,106766.0,41.2
16,Aruba,2020-04-08,74,0,,106766.0,41.2
17,Aruba,2020-04-09,77,0,,106766.0,41.2
18,Aruba,2020-04-10,82,0,,106766.0,41.2
19,Aruba,2020-04-11,86,0,,106766.0,41.2
20,Aruba,2020-04-12,92,0,,106766.0,41.2
21,Aruba,2020-04-13,92,0,,106766.0,41.2
22,Aruba,2020-04-14,92,0,,106766.0,41.2
23,Aruba,2020-04-15,92,0,,106766.0,41.2
24,Aruba,2020-04-16,93,1,,106766.0,41.2
25,Aruba,2020-04-17,95,1,,106766.0,41.2
26,Aruba,2020-04-18,96,2,,106766.0,41.2
27,Aruba,2020-04-19,96,2,,106766.0,41.2
28,Aruba,2020-04-20,97,2,,106766.0,41.2
29,Aruba,2020-04-21,97,2,,106766.0,41.2
30,Aruba,2020-04-22,97,2,,106766.0,41.2
31,Aruba,2020-04-23,100,2,,106766.0,41.2
32,Aruba,2020-04-24,100,2,,106766.0,41.2
33,Aruba,2020-04-25,100,2,,106766.0,41.2
34,Aruba,2020-04-26,100,2,,106766.0,41.2
35,Aruba,2020-04-27,100,2,,106766.0,41.2
36,Aruba,2020-04-28,100,2,,106766.0,41.2
37,Aruba,2020-04-29,100,2,,106766.0,41.2
38,Aruba,2020-04-30,100,2,,106766.0,41.2
39,Aruba,2020-05-01,100,2,,106766.0,41.2
40,Aruba,2020-05-02,100,2,,106766.0,41.2
41,Aruba,2020-05-03,100,2,,106766.0,41.2
42,Aruba,2020-05-04,100,2,,106766.0,41.2
43,Aruba,2020-05-05,100,2,,106766.0,41.2
44,Aruba,2020-05-06,100,2,,106766.0,41.2
45,Aruba,2020-05-07,101,2,,106766.0,41.2
46,Aruba,2020-05-08,101,3,,106766.0,41.2
47,Aruba,2020-05-09,101,3,,106766.0,41.2
48,Aruba,2020-05-10,101,3,,106766.0,41.2
49,Aruba,2020-05-11,101,3,,106766.0,41.2
50,Aruba,2020-05-12,101,3,,106766.0,41.2
51,Aruba,2020-05-13,101,3,,106766.0,41.2
52,Aruba,2020-05-14,101,3,,106766.0,41.2
53,Aruba,2020-05-15,101,3,,106766.0,41.2
54,Aruba,2020-05-16,101,3,,106766.0,41.2
55,Aruba,2020-05-17,101,3,,106766.0,41.2
56,Aruba,2020-05-18,101,3,,106766.0,41.2
57,Afghanistan,2019-12-31,0,0,,38928341.0,18.6
58,Afghanistan,2020-01-01,0,0,,38928341.0,18.6
59,Afghanistan,2020-01-02,0,0,,38928341.0,18.6
60,Afghanistan,2020-01-03,0,0,,38928341.0,18.6
61,Afghanistan,2020-01-04,0,0,,38928341.0,18.6
62,Afghanistan,2020-01-05,0,0,,38928341.0,18.6
63,Afghanistan,2020-01-06,0,0,,38928341.0,18.6
64,Afghanistan,2020-01-07,0,0,,38928341.0,18.6
65,Afghanistan,2020-01-08,0,0,,38928341.0,18.6
66,Afghanistan,2020-01-09,0,0,,38928341.0,18.6
67,Afghanistan,2020-01-10,0,0,,38928341.0,18.6
68,Afghanistan,2020-01-11,0,0,,38928341.0,18.6
69,Afghanistan,2020-01-12,0,0,,38928341.0,18.6
70,Afghanistan,2020-01-13,0,0,,38928341.0,18.6
71,Afghanistan,2020-01-14,0,0,,38928341.0,18.6
72,Afghanistan,2020-01-15,0,0,,38928341.0,18.6
73,Afghanistan,2020-01-16,0,0,,38928341.0,18.6
74,Afghanistan,2020-01-17,0,0,,38928341.0,18.6
75,Afghanistan,2020-01-18,0,0,,38928341.0,18.6
76,Afghanistan,2020-01-19,0,0,,38928341.0,18.6
77,Afghanistan,2020-01-20,0,0,,38928341.0,18.6
78,Afghanistan,2020-01-21,0,0,,38928341.0,18.6
79,Afghanistan,2020-01-22,0,0,,38928341.0,18.6
80,Afghanistan,2020-01-23,0,0,,38928341.0,18.6
81,Afghanistan,2020-01-24,0,0,,38928341.0,18.6
82,Afghanistan,2020-01-25,0,0,,38928341.0,18.6
83,Afghanistan,2020-01-26,0,0,,38928341.0,18.6
84,Afghanistan,2020-01-27,0,0,,38928341.0,18.6
85,Afghanistan,2020-01-28,0,0,,38928341.0,18.6
86,Afghanistan,2020-01-29,0,0,,38928341.0,18.6
87,Afghanistan,2020-01-30,0,0,,38928341.0,18.6
88,Afghanistan,2020-01-31,0,0,,38928341.0,18.6
89,Afghanistan,2020-02-01,0,0,,38928341.0,18.6
90,Afghanistan,2020-02-02,0,0,,38928341.0,18.6
91,Afghanistan,2020-02-03,0,0,,38928341.0,18.6
92,Afghanistan,2020-02-04,0,0,,38928341.0,18.6
93,Afghanistan,2020-02-05,0,0,,38928341.0,18.6
94,Afghanistan,2020-02-06,0,0,,38928341.0,18.6
95,Afghanistan,2020-02-07,0,0,,38928341.0,18.6
96,Afghanistan,2020-02-08,0,0,,38928341.0,18.6
97,Afghanistan,2020-02-09,0,0,,38928341.0,18.6
98,Afghanistan,2020-02-10,0,0,,38928341.0,18.6
99,Afghanistan,2020-02-11,0,0,,38928341.0,18.6
100,Afghanistan,2020-02-12,0,0,,38928341.0,18.6
101,Afghanistan,2020-02-13,0,0,,38928341.0,18.6
102,Afghanistan,2020-02-14,0,0,,38928341.0,18.6
103,Afghanistan,2020-02-15,0,0,,38928341.0,18.6
104,Afghanistan,2020-02-16,0,0,,38928341.0,18.6
105,Afghanistan,2020-02-17,0,0,,38928341.0,18.6
106,Afghanistan,2020-02-18,0,0,,38928341.0,18.6
107,Afghanistan,2020-02-19,0,0,,38928341.0,18.6
108,Afghanistan,2020-02-20,0,0,,38928341.0,18.6
109,Afghanistan,2020-02-21,0,0,,38928341.0,18.6
110,Afghanistan,2020-02-22,0,0,,38928341.0,18.6
111,Afghanistan,2020-02-23,0,0,,38928341.0,18.6
112,Afghanistan,2020-02-24,0,0,,38928341.0,18.6
113,Afghanistan,2020-02-25,1,0,,38928341.0,18.6
114,Afghanistan,2020-02-26,1,0,,38928341.0,18.6
115,Afghanistan,2020-02-27,1,0,,38928341.0,18.6
116,Afghanistan,2020-02-28,1,0,,38928341.0,18.6
117,Afghanistan,2020-02-29,1,0,,38928341.0,18.6
118,Afghanistan,2020-03-01,1,0,,38928341.0,18.6
119,Afghanistan,2020-03-02,1,0,,38928341.0,18.6
120,Afghanistan,2020-03-08,4,0,,38928341.0,18.6
121,Afghanistan,2020-03-11,7,0,,38928341.0,18.6
122,Afghanistan,2020-03-15,10,0,,38928341.0,18.6
123,Afghanistan,2020-03-16,16,0,,38928341.0,18.6
124,Afghanistan,2020-03-17,21,0,,38928341.0,18.6
125,Afghanistan,2020-03-18,22,0,,38928341.0,18.6
126,Afghanistan,2020-03-19,22,0,,38928341.0,18.6
127,Afghanistan,2020-03-20,22,0,,38928341.0,18.6
128,Afghanistan,2020-03-21,24,0,,38928341.0,18.6
129,Afghanistan,2020-03-22,24,0,,38928341.0,18.6
130,Afghanistan,2020-03-23,34,0,,38928341.0,18.6
131,Afghanistan,2020-03-24,40,1,,38928341.0,18.6
132,Afghanistan,2020-03-25,42,1,,38928341.0,18.6
133,Afghanistan,2020-03-26,75,1,,38928341.0,18.6
134,Afghanistan,2020-03-27,75,1,,38928341.0,18.6
135,Afghanistan,2020-03-28,91,2,,38928341.0,18.6
136,Afghanistan,2020-03-29,106,3,,38928341.0,18.6
137,Afghanistan,2020-03-30,114,4,,38928341.0,18.6
138,Afghanistan,2020-03-31,141,4,,38928341.0,18.6
139,Afghanistan,2020-04-01,166,4,,38928341.0,18.6
140,Afghanistan,2020-04-02,192,4,,38928341.0,18.6
141,Afghanistan,2020-04-03,235,4,,38928341.0,18.6
142,Afghanistan,2020-04-04,235,4,,38928341.0,18.6
143,Afghanistan,2020-04-05,270,5,,38928341.0,18.6
144,Afghanistan,2020-04-06,299,7,,38928341.0,18.6
145,Afghanistan,2020-04-07,337,7,,38928341.0,18.6
146,Afghanistan,2020-04-08,367,11,,38928341.0,18.6
147,Afghanistan,2020-04-09,423,14,,38928341.0,18.6
148,Afghanistan,2020-04-10,484,15,,38928341.0,18.6
149,Afghanistan,2020-04-11,521,15,,38928341.0,18.6
150,Afghanistan,2020-04-12,555,18,,38928341.0,18.6
151,Afghanistan,2020-04-13,607,18,,38928341.0,18.6
152,Afghanistan,2020-04-14,665,21,,38928341.0,18.6
153,Afghanistan,2020-04-15,714,23,,38928341.0,18.6
154,Afghanistan,2020-04-16,784,25,,38928341.0,18.6
155,Afghanistan,2020-04-17,794,29,,38928341.0,18.6
156,Afghanistan,2020-04-18,845,30,,38928341.0,18.6
157,Afghanistan,2020-04-19,908,30,,38928341.0,18.6
158,Afghanistan,2020-04-20,996,33,,38928341.0,18.6
159,Afghanistan,2020-04-21,1031,35,,38928341.0,18.6
160,Afghanistan,2020-04-22,1092,36,,38928341.0,18.6
161,Afghanistan,2020-04-23,1176,40,,38928341.0,18.6
162,Afghanistan,2020-04-24,1281,42,,38928341.0,18.6
163,Afghanistan,2020-04-25,1351,43,,38928341.0,18.6
164,Afghanistan,2020-04-26,1463,47,,38928341.0,18.6
165,Afghanistan,2020-04-27,1531,57,,38928341.0,18.6
166,Afghanistan,2020-04-28,1703,57,,38928341.0,18.6
167,Afghanistan,2020-04-29,1827,60,,38928341.0,18.6
168,Afghanistan,2020-04-30,1949,60,,38928341.0,18.6
169,Afghanistan,2020-05-01,2171,64,,38928341.0,18.6
170,Afghanistan,2020-05-02,2335,68,,38928341.0,18.6
171,Afghanistan,2020-05-03,2469,72,,38928341.0,18.6
172,Afghanistan,2020-05-04,2704,85,,38928341.0,18.6
173,Afghanistan,2020-05-05,2894,90,,38928341.0,18.6
174,Afghanistan,2020-05-06,3224,95,,38928341.0,18.6
175,Afghanistan,2020-05-07,3392,104,,38928341.0,18.6
176,Afghanistan,2020-05-08,3563,106,,38928341.0,18.6
177,Afghanistan,2020-05-09,3778,109,,38928341.0,18.6
178,Afghanistan,2020-05-10,4033,115,,38928341.0,18.6
179,Afghanistan,2020-05-11,4402,120,,38928341.0,18.6
180,Afghanistan,2020-05-12,4687,122,,38928341.0,18.6
181,Afghanistan,2020-05-13,4967,127,,38928341.0,18.6
182,Afghanistan,2020-05-14,5226,130,,38928341.0,18.6
183,Afghanistan,2020-05-15,5339,136,,38928341.0,18.6
184,Afghanistan,2020-05-16,6402,168,,38928341.0,18.6
185,Afghanistan,2020-05-17,6402,168,,38928341.0,18.6
186,Afghanistan,2020-05-18,6664,169,,38928341.0,18.6
187,Angola,2020-03-22,2,0,,32866268.0,16.8
188,Angola,2020-03-23,2,0,,32866268.0,16.8
189,Angola,2020-03-24,2,0,,32866268.0,16.8
190,Angola,2020-03-25,2,0,,32866268.0,16.8
191,Angola,2020-03-26,2,0,,32866268.0,16.8
192,Angola,2020-03-27,3,0,,32866268.0,16.8
193,Angola,2020-03-28,4,0,,32866268.0,16.8
194,Angola,2020-03-29,4,0,,32866268.0,16.8
195,Angola,2020-03-30,7,2,,32866268.0,16.8
196,Angola,2020-03-31,7,2,,32866268.0,16.8
197,Angola,2020-04-01,7,2,,32866268.0,16.8
198,Angola,2020-04-02,8,2,,32866268.0,16.8
199,Angola,2020-04-03,8,2,,32866268.0,16.8
200,Angola,2020-04-04,8,2,,32866268.0,16.8
201,Angola,2020-04-05,10,2,,32866268.0,16.8
202,Angola,2020-04-06,14,2,,32866268.0,16.8
203,Angola,2020-04-07,16,2,,32866268.0,16.8
204,Angola,2020-04-08,17,2,,32866268.0,16.8
205,Angola,2020-04-09,19,2,,32866268.0,16.8
206,Angola,2020-04-10,19,2,,32866268.0,16.8
207,Angola,2020-04-11,19,2,,32866268.0,16.8
208,Angola,2020-04-12,19,2,,32866268.0,16.8
209,Angola,2020-04-13,19,2,,32866268.0,16.8
210,Angola,2020-04-14,19,2,,32866268.0,16.8
211,Angola,2020-04-15,19,2,,32866268.0,16.8
212,Angola,2020-04-16,19,2,,32866268.0,16.8
213,Angola,2020-04-17,19,2,,32866268.0,16.8
214,Angola,2020-04-18,19,2,,32866268.0,16.8
215,Angola,2020-04-19,24,2,,32866268.0,16.8
216,Angola,2020-04-20,24,2,,32866268.0,16.8
217,Angola,2020-04-21,24,2,,32866268.0,16.8
218,Angola,2020-04-22,24,2,,32866268.0,16.8
219,Angola,2020-04-23,24,2,,32866268.0,16.8
220,Angola,2020-04-24,25,2,,32866268.0,16.8
221,Angola,2020-04-25,25,2,,32866268.0,16.8
222,Angola,2020-04-26,25,2,,32866268.0,16.8
223,Angola,2020-04-27,26,2,,32866268.0,16.8
224,Angola,2020-04-28,27,2,,32866268.0,16.8
225,Angola,2020-04-29,27,2,,32866268.0,16.8
226,Angola,2020-04-30,27,2,,32866268.0,16.8
227,Angola,2020-05-01,27,2,,32866268.0,16.8
228,Angola,2020-05-02,29,2,,32866268.0,16.8
229,Angola,2020-05-03,35,2,,32866268.0,16.8
230,Angola,2020-05-04,35,2,,32866268.0,16.8
231,Angola,2020-05-05,35,2,,32866268.0,16.8
232,Angola,2020-05-06,36,2,,32866268.0,16.8
233,Angola,2020-05-07,36,2,,32866268.0,16.8
234,Angola,2020-05-08,36,2,,32866268.0,16.8
235,Angola,2020-05-09,43,2,,32866268.0,16.8
236,Angola,2020-05-10,43,2,,32866268.0,16.8
237,Angola,2020-05-11,45,2,,32866268.0,16.8
238,Angola,2020-05-12,45,2,,32866268.0,16.8
239,Angola,2020-05-13,45,2,,32866268.0,16.8
